"IE_XML_ID"	"IE_NAME"	"IE_ACTIVE"	"IE_CODE"	"IP_PROP35"	"IP_PROP36"	"IP_PROP37"	"IP_PROP51"	"IP_PROP6"	"IP_PROP8"	"IP_PROP23"	"IP_PROP24"	"IP_PROP25"	"IP_PROP27"	"IP_PROP30"	"IP_PROP42"	"IP_PROP55"	"IC_GROUP0"	"CV_PRICE_1"	"CV_CURRENCY_1"
	"Журнальный стол БИНТАУ 381120"	"Y"	381120	122	85	45	100		"black"	"В резерве"	"rectangular"	"obez"	201800	381120	"bintou"	"Индонезия"	"Журнальные столы"	201800	"RUB"
	"Журнальный стол БИНТАУ 381123"	"Y"	381123	80	80	45	53		"AntiqueWhite"	"В резерве"	"square"	"obez"	119000	381123	"bintou"	"Индонезия"	"Большие столы"	119000	"RUB"
	"Журнальный стол БИНТАУ 381123"	"Y"	381123	80	80	45	53		"AntiqueWhite"	"В резерве"	"square"	"obez"	119000	381123	"bintou"	"Индонезия"	"Журнальные столы"	119000	"RUB"
	"Журнальный стол БИНТАУ 381125"	"Y"	381125	159	85	45	139		"black"	"В наличии"	"rectangular"	"obez"	280000	381125	"bintou"	"Индонезия"	"Большие столы"	280000	"RUB"
	"Журнальный стол БИНТАУ 381126"	"Y"	381126	124	66	45	66		"black"	"В наличии"	"rectangular"	"obez"	133200	381126	"bintou"	"Индонезия"	"Большие столы"	133200	"RUB"
	"Журнальный стол БИНТАУ 381126"	"Y"	381126	124	66	45	66		"black"	"В наличии"	"rectangular"	"obez"	133200	381126	"bintou"	"Индонезия"	"Журнальные столы"	133200	"RUB"
	"Журнальный стол БИНТАУ 381127"	"Y"	381127	124	66	45	80		"black"	"В наличии"	"rectangular"	"obez"	161400	381127	"bintou"	"Индонезия"	"Большие столы"	161400	"RUB"
	"Журнальный стол БИНТАУ 381127"	"Y"	381127	124	66	45	80		"black"	"В наличии"	"rectangular"	"obez"	161400	381127	"bintou"	"Индонезия"	"Журнальные столы"	161400	"RUB"
	"Журнальный стол ПАЛИАТ 381128"	"Y"	381128	87	65	45	58		"AntiqueWhite"	"В резерве"	"circle"	"nature"	117000	381128	"pelit"	"Индонезия"	"Большие столы"	117000	"RUB"
	"Журнальный стол ПАЛИАТ 381128"	"Y"	381128	87	65	45	58		"AntiqueWhite"	"В резерве"	"circle"	"nature"	117000	381128	"pelit"	"Индонезия"	"Журнальные столы"	117000	"RUB"
	"Журнальный стол СОЛАР 381362"	"Y"	381362	60	60	45	36		"black"	"В наличии"	"square"	"nature_pol"	72600	381362	"solar"	"Индонезия"	"Журнальные столы"	72600	"RUB"
	"Журнальный стол СОЛАР 381363"	"Y"	381363	60	60	45	35		"black"	"В наличии"	"square"	"nature_pol"	70600	381363	"solar"	"Индонезия"	"Журнальные столы"	70600	"RUB"
